Provinsi,Tidak/Belum Sekolah,Tidak Tamat SD,SD,SMP,SMA,Perguruan Tinggi
Aceh,0.91,7.64,19.74,24.27,34.46,12.99
Sumatera Utara,1.29,6.52,16.88,22.80,41.29,11.22
Sumatera Barat,0.89,10.96,19.15,22.03,34.41,12.56
Riau,1.38,6.36,23.34,24.47,34.05,10.39
Jambi,2.24,6.80,26.10,24.66,30.08,10.12
Sumatera Selatan,1.26,9.76,28.75,20.56,31.26,8.40
Bengkulu,1.93,10.12,23.39,21.81,29.70,13.05
Lampung,1.62,11.25,24.56,26.71,28.41,7.46
Bangka Belitung,2.05,13.14,26.06,17.78,31.91,9.06
Kepulauan Riau,0.84,5.25,16.90,19.05,44.55,13.41
DKI Jakarta,0.64,2.68,11.11,18.34,48.99,18.23
Jawa Barat,1.43,5.93,29.51,23.88,30.44,8.81
Jawa Tengah,3.41,11.34,27.41,24.39,25.62,7.82
DI Yogyakarta,2.48,10.88,14.15,19.92,36.99,15.59
Jawa Timur,4.25,10.55,26.13,22.05,27.64,9.38
Banten,2.21,5.53,25.91,23.20,34.43,8.71
Bali,5.06,5.87,20.16,20.21,32.69,16.00
Nusa Tenggara Barat,5.91,10.97,24.29,23.08,26.32,9.44
Nusa Tenggara Timur,3.02,14.89,29.54,21.63,20.73,10.19
Kalimantan Barat,4.47,13.42,26.85,21.27,25.78,8.20
Kalimantan Tengah,1.00,7.92,29.25,26.85,24.47,10.50
Kalimantan Selatan,1.15,11.41,28.12,21.86,27.13,10.34
Kalimantan Timur,1.48,5.27,19.87,21.51,39.07,12.80
Kalimantan Utara,3.57,6.35,22.64,24.76,31.34,11.34
Sulawesi Utara,0.47,9.01,17.98,23.77,36.98,11.79
Sulawesi Tengah,2.43,6.14,29.91,25.43,23.98,12.11
Sulawesi Selatan,4.54,10.57,21.96,20.56,29.85,12.53
Sulawesi Tenggara,4.01,6.74,21.92,26.82,25.31,15.21
Gorontalo,3.61,18.72,23.21,20.48,21.60,12.39
Sulawesi Barat,5.90,13.05,26.31,17.88,24.44,12.42
Maluku,1.40,4.80,20.16,23.10,36.43,14.10
Maluku Utara,1.82,7.79,24.57,24.28,29.56,11.98
Papua Barat,5.85,5.95,19.46,22.59,32.56,13.58
Papua Barat Daya,3.79,5.17,17.52,19.39,38.86,15.28
Papua,5.20,3.28,14.35,20.66,39.63,16.88
Papua Selatan,12.37,8.76,16.35,20.93,30.74,10.85
Papua Tengah,39.09,2.60,15.52,14.98,21.00,6.81
Papua Pegunungan,45.55,3.01,15.66,16.73,15.58,3.47