Provinsi,Jumlah Petani,Pakai Teknologi (<19),Pakai Teknologi (19<x<39),Pakai Teknologi (>39),Tidak Pakai (19<x<39),Total
Aceh,797962,238,136159,382734,8672,605851
Sumatera Utara,1468189,241,137969,464226,223845,826281
Sumatera Barat,756022,165,80664,304113,83172,468114
Riau,704346,93,67142,186159,119215,372609
Jambi,557623,73,47223,121901,108061,277258
Sumatera Selatan,1160436,226,169266,425545,17117,766207
Bengkulu,332360,103,45578,107718,51061,20446
Lampung,1340261,296,200129,611738,137358,949521
Bangka Belitung,151783,61,20688,38757,29455,88961
Kepulauan Riau,50607,29,4737,14111,13879,32756
DKI Jakarta,8347,5,796,3384,1772,5957
Jawa Barat,3159485,296,24239,1316743,300654,1860083
Jawa Tengah,4211996,408,303823,1955206,321984,2581421
DI Yogyakarta,418811,47,16423,168996,20718,206184
Jawa Timur,5507699,616,425861,2264127,545241,3235845
Banten,580396,28,46561,232245,63885,342719
Bali,361673,27,23162,160175,31746,21511
Nusa Tenggara Barat,742343,465,144457,364278,81026,590226
Nusa Tenggara Timur,883667,103,50879,144933,174306,370221
Kalimantan Barat,706928,59,41347,120083,162508,323997
Kalimantan Tengah,287876,39,213,60987,61349,143675
Kalimantan Selatan,459453,132,44022,140876,72794,257824
Kalimantan Timur,182991,48,15941,59318,29626,104933
Kalimantan Utara,45020,35,5356,12479,10897,28767
Sulawesi Utara,257186,22,14111,59699,34576,108408
Sulawesi Tengah,429713,136,36236,105231,86778,228381
Sulawesi Selatan,1042647,1167,175732,552643,97085,826627
Sulawesi Tenggara,308594,81,27116,69511,65075,161783
Gorontalo,139383,77,22489,55983,19401,9795
Sulawesi Barat,192391,271,23575,59151,36065,119062
Maluku,192078,10,3807,8788,55207,67812
Maluku Utara,148478,5,2847,7748,38314,48914
Papua Barat,4595,1,602,1803,19053,21459
Papua Barat Daya,26652,0,656,1474,9434,11564
Papua,65152,1,1144,3269,21585,25999
Papua Selatan,46955,8,301,8121,2452,35659
Papua Tengah,200093,0,407,1179,82693,84279
Papua Pegunungan,221147,0,4,2,87172,87178