No,Provinsi,2022_L,2022_P,2022_Total,2023_L,2023_P,2023_Total
1,Aceh,568000,308573,876573,545447,297405,842852
2,Sumatera Utara,1434353,895528,2329881,1456639,924252,2380891
3,Sumatera Barat,579292,317566,896858,583922,318478,902400
4,Riau,946538,229130,1175668,849246,213312,1062558
5,Jambi,573094,257091,830185,540850,245808,786658
6,Sumatera Selatan,1280239,644824,1925063,1225720,632488,1858208
7,Bengkulu,324644,157479,482123,315594,154738,470332
8,Lampung,1281006,543159,1824165,1350016,554681,1904697
9,Bangka Belitung,105511,48677,154188,107328,45665,152993
10,Kepulauan Riau,27875,9337,37212,20163,8351,28514
11,DKI Jakarta,12508,2969,15477,10244,4836,15080
12,Jawa Barat,2258601,1123801,3382402,2186516,1189515,3376031
13,Jawa Tengah,2736330,1559663,4295993,2858880,1726196,4585076
14,DI Yogyakarta,219244,168165,387409,222515,185498,408013
15,Jawa Timur,3957319,2528004,6485323,4055145,2740194,6795339
16,Banten,424503,186449,610952,402857,197069,599926
17,Bali,280147,211333,491480,272546,204131,476677
18,Nusa Tenggara Barat,519218,348861,868079,526089,355367,881456
19,Nusa Tenggara Timur,721464,580453,1301917,712256,594877,1307133
20,Kalimantan Barat,712652,455491,1168143,752495,489325,1241820
21,Kalimantan Tengah,318273,145200,463473,283328,119927,403255
22,Kalimantan Selatan,387917,231408,619325,341201,206660,547861
23,Kalimantan Timur,223462,46420,269882,225975,59372,285347
24,Kalimantan Utara,48568,20713,69281,56156,27376,83532
25,Sulawesi Utara,192983,47751,240734,192040,51334,243374
26,Sulawesi Tengah,422479,185850,608329,388072,162068,550140
27,Sulawesi Selatan,951670,507804,1459474,935865,454433,1390298
28,Sulawesi Tenggara,239191,130001,369192,207659,116614,324273
29,Gorontalo,134298,49820,184118,120879,41377,162256
30,Sulawesi Barat,229545,115708,345253,217948,105138,323086
31,Maluku,128819,80032,208851,135963,86044,222007
32,Maluku Utara,83900,53300,137200,73027,59537,132564
33,Papua Barat,75880,66836,142716,89560,74477,164037
34,Papua,665110,592112,1257222,886924,669933,1556857