Provinsi,Ibu Kota Wilayah,Luas Wilayah (Km2),Persentase Terhadap Luas Wilayah,Jumlah Pulau
Aceh,NaN,56834.75,3,363
Sumatera Utara,NaN,72460.74,3.83,229
Sumatera Barat,NaN,42119.54,2.23,219
Riau,NaN,89935.9,4.75,144
Jambi,NaN,49026.58,2.59,14
Sumatera Selatan,NaN,86771.68,4.59,24
Bengkulu,NaN,20128.34,1.06,9
Lampung,NaN,33570.26,1.77,172
Kepulauan Bangka Belitung,NaN,16690.13,0.88,507
Kepulauan Riau,NaN,8269.71,0.44,2028
DKI Jakarta,NaN,660.98,0.03,113
Jawa Barat,NaN,37044.86,1.96,30
Jawa Tengah,NaN,34337.49,1.81,71
DI Yogyakarta,NaN,3170.65,0.17,33
Jawa Timur,NaN,48036.84,2.54,512
Banten,NaN,9352.77,0.49,81
Bali,NaN,5590.15,0.3,34
Nusa Tenggara Barat,NaN,19675.89,1.04,403
Nusa Tenggara Timur,NaN,46446.64,2.45,609
Kalimantan Barat,NaN,147037.04,7.77,253
Kalimantan Tengah,NaN,153443.91,8.11,69
Kalimantan Selatan,NaN,37135.05,1.96,165
Kalimantan Timur,NaN,126981.28,6.71,243
Kalimantan Utara,NaN,70101.18,3.7,196
Sulawesi Utara,NaN,14500.28,0.77,353
Sulawesi Tengah,NaN,61605.72,3.26,1572
Sulawesi Selatan,NaN,45330.55,2.4,370
Sulawesi Tenggara,NaN,36159.71,1.91,590
Gorontalo,NaN,12025.15,0.64,127
Sulawesi Barat,NaN,16594.75,0.88,69
Maluku,NaN,46158.27,2.44,1388
Maluku Utara,NaN,32998.7,1.74,901
Papua Barat,NaN,60275.31,3.18,1498
Papua Barat Daya,NaN,39122.95,2.07,3022
Papua,NaN,82680.96,4.37,527
Papua Selatan,NaN,117849.16,6.23,7
Papua Tengah,NaN,61072.91,3.23,50
Papua Pegunungan,NaN,51213.33,2.71,