No,Provinsi,2015,2016,2017,2018,2019,Pertumbuhan
1,Aceh,327697,276325,271792,270586,299701,10.76
2,Sumatera Utara,279281,281472,275070,294045,310973,5.76
3,Sumatera Barat,217887,245638,214192,221169,200134,-9.51
4,Riau,353269,433115,549341,494375,513277,3.82
5,Jambi,305799,324546,272763,222107,255851,15.19
6,Sumatera Selatan,530440,501724,486359,577544,474587,-17.83
7,Bengkulu,89261,89047,84495,90682,86888,-4.18
8,Lampung,69920,59202,41090,41148,67930,65.09
9,Kepulauan Bangka Belitung,82272,67415,55987,59174,54390,-8.08
10,Kepulauan Riau,110041,93428,89690,96607,86945,-10.00
11,DKI Jakarta,80,192,150,945,77,-91.81
12,Jawa Barat,10093,13908,9572,18735,13730,-26.71
13,Jawa Tengah,3611,12956,3313,10962,7567,-30.97
14,DI Yogyakarta,888,885,2376,403,1766,338.21
15,Jawa Timur,12678,18650,14014,18002,20812,15.61
16,Banten,13236,12595,10888,10997,5345,-51.39
17,Bali,402,407,410,446,447,0.22
18,Nusa Tenggara Barat,33749,33363,47317,46961,48844,4.01
19,Nusa Tenggara Timur,808996,782612,791975,821260,770579,-6.17
20,Kalimantan Barat,1019956,905943,884662,877436,945192,7.72
21,Kalimantan Tengah,1838991,1336180,1431463,1464528,1487349,1.56
22,Kalimantan Selatan,154237,148703,134395,137623,133999,-2.63
23,Kalimantan Timur,695093,737150,815249,770641,516673,-32.96
24,Kalimantan Utara,112417,160508,362120,155477,255154,64.11
25,Sulawesi Utara,69371,53313,71451,61148,57519,-5.93
26,Sulawesi Tengah,417794,475473,441384,377286,332880,-11.77
27,Sulawesi Selatan,83041,105753,101911,105435,96108,-8.85
28,Sulawesi Tenggara,203925,190680,222909,227712,206502,-9.31
29,Gorontalo,54121,56110,49981,50088,50014,-0.15
30,Sulawesi Barat,44487,44171,54288,60983,60565,-0.69
31,Maluku,890552,938689,697902,766555,919942,20.01
32,Maluku Utara,20591,20591,20591,20754,13525,-34.83
33,Papua Barat,2087032,2092117,2280872,1019858,2091939,105.12
34,Papua,1399061,1428885,1378042,1385532,1384185,-0.10