province,tmax_mean,heat_stress_mean,tmin_mean,tdiff_mean,rx1_mean,rx5_mean,prcptot_mean,cdd_mean,cwd_mean,H
ACEH,0.674582950507544,0.18094684867847807,0.8955507493034724,0.43975169964839034,0.7264718698248268,0.5497369233165557,0.28640867173642365,0.013129102844638951,0.93682839465972,0.5224854900897147
BALI,0.0,0.0,0.5108719740029886,0.1765918403803892,0.13994852419451878,0.11915299331281382,0.07354535037236565,0.5382932166301969,0.16910886790404864,0.0
BANTEN,0.4243313617036455,0.30554748765611384,0.7234820585418158,0.6861042024661915,0.1818841312544948,0.13489402787165367,0.07171517673057946,0.29321663019693656,0.1906002387930099,0.2254812997245222
BENGKULU,0.6988205890781801,0.09817020040662214,0.6930275777312842,0.36969416302840186,0.390646872222945,0.2811297676168003,0.191890218443301,0.1225382932166302,0.42353196570064044,0.27072184918114317
DAERAH ISTIMEWA YOGYAKARTA,0.2228748402586365,0.035724658727853624,0.0,0.6853836528878714,0.208018563142467,0.1318563129034686,0.06045280955851548,0.5842450765864333,0.13025073266037127,0.0581661239978398
DKI JAKARTA,0.31273785934888254,0.15945396456578567,0.3681518058346454,0.8608730503259779,0.0,0.0,0.0,1.0,0.0,0.17095571632402784
GORONTALO,0.45628184833825935,0.04066221318617485,0.5600814686511424,0.41016424272368646,0.21010185197473957,0.153663948152335,0.15322534249721512,0.19693654266958427,0.4381851731249322,0.15657385476289987
JAMBI,0.748797896272353,0.31222770839384256,0.6816671694350663,0.8923073024493401,0.34605849446436243,0.22147650497007837,0.17068431411620086,0.06345733041575492,0.6666666666666667,0.41713073146164603
JAWA BARAT,0.6150409638969144,0.7203020621550974,0.7898461234407024,0.843524026235675,0.35000904974346586,0.28574283060122296,0.1694944087655373,0.1575492341356674,0.45783132530120496,0.4673439012903449
JAWA TENGAH,0.7050171395257019,0.9561428986349114,0.7775190639493954,1.0,0.36088538404022247,0.2675704128782879,0.1512230416699442,0.262582056892779,0.35742971887550207,0.5461812065866621
JAWA TIMUR,0.7251983621821009,1.0,1.0,0.7955463307076828,0.3205854713347429,0.2603846723915055,0.147730711341138,0.2428884026258206,0.31390426571149466,0.5405397959344014
KALIMANTAN BARAT,1.0,0.5907638687191402,0.8828583767382331,0.8689181428109074,0.5369114595738186,0.42502503674524267,0.2803457850775819,0.15317286652078776,0.5759253229132748,0.6296749515832444
KALIMANTAN SELATAN,0.6203307860812538,0.42869590473424335,0.8227728492366366,0.7752033840592366,0.2565161697543604,0.16487691952414782,0.12965195816094363,0.2516411378555799,0.43406056659068715,0.37857609520700486
KALIMANTAN TENGAH,0.8591102698168464,0.6462387452802789,0.8639822421738005,0.9864669355860997,0.5297500873886555,0.342321808550404,0.24735055365387593,0.12035010940919037,0.6349723217193097,0.615036097969945
KALIMANTAN TIMUR,0.8320776647442355,0.4812663374963694,0.7968472106174365,0.9503909226911558,0.43603904663887044,0.296900301477183,0.26396768817496286,0.03282275711159738,0.8847281015955716,0.570176767378062
KALIMANTAN UTARA,0.6822416802270018,0.16410107464420562,0.6542925294699815,0.8041402444973476,0.351573085284285,0.25437625798970925,0.23587520179912144,0.02188183807439825,0.9409530011939651,0.4182002364477221
KEPULAUAN BANGKA BELITUNG,0.22048920523521184,0.08974731338948592,0.9095105082563623,0.2453053794775477,0.13567370290516173,0.1195802103842833,0.09038792911565681,0.4726477024070022,0.26473461413220456,0.14406850999585383
KEPULAUAN RIAU,0.12035058847549854,0.004066221318617485,0.9557028055799386,0.0,0.2080420155404561,0.18662612536992218,0.0889335903322735,0.24070021881838075,0.27005318571583636,0.06091701364605995
LAMPUNG,0.7529236820645656,0.4284054603543421,0.742422770987621,0.9098627220330006,0.2494977897916244,0.18195286597394902,0.12661858212115348,0.11816192560175055,0.4810593726256378,0.3973896629159574
MALUKU,0.47326418484858546,0.046180656404298574,0.9110383141264563,0.13094101096589972,0.39928883682823263,0.3349716848694319,0.22686405566515097,0.04157549234135668,0.8763703462498644,0.3007526511147646
MALUKU UTARA,0.5133452147698802,0.03194888178913738,0.8725777218609811,0.0848338243103681,0.36897797215505385,0.26350212197839545,0.18876953543376432,0.10940919037199126,0.6646043633995442,0.2406145175227722
NUSA TENGGARA BARAT,0.4379588528386917,0.2750508277664827,0.6250590517275433,0.7058743910618185,0.14712179690274477,0.1470712301437028,0.06993551125310948,0.4857768052516412,0.1784435037447086,0.23610636556369075
NUSA TENGGARA TIMUR,0.5004896480216671,0.4167876851582922,0.8179393204667602,0.5541025667920909,0.23028207098573683,0.23730789490920956,0.10954397505566689,0.4485776805251641,0.2522522522522523,0.3230132383142217
PAPUA,0.9763630750535341,0.6712169619517863,0.8350918902250082,0.9404907670161645,1.0,1.0,1.0,0.0,1.0,1.0
PAPUA BARAT,0.710565253808886,0.13273308161487077,0.8501758350229224,0.5379452975023002,0.476534434732941,0.4160833683944885,0.3791158404104355,0.0,1.0,0.487326359598194
RIAU,0.8558272542442926,0.5018878884693581,0.8448175076356813,0.7817564492031165,0.3352129806628819,0.2380436207082319,0.15760876826886425,0.09846827133479213,0.4713991099533269,0.449028489507012
SULAWESI BARAT,0.39509318809937605,0.017136218414173687,0.59822518952021,0.17283345331759326,0.5078141228481233,0.34018419438550296,0.18419950003359695,0.10722100656455143,0.5962227287528494,0.20918013752861359
SULAWESI SELATAN,0.6218756188248201,0.4728434504792332,0.9236519896319595,0.6389347677994885,0.40958678710956725,0.35702065770264596,0.30027994021224896,0.04157549234135668,0.8611744274394877,0.5090604938288426
SULAWESI TENGAH,0.8508134356170045,0.1280859715364508,0.8242662995415759,0.3616481339803255,0.4808368457115082,0.3836883850162238,0.26953868716009666,0.0,1.0,0.4514612071527831
SULAWESI TENGGARA,0.6117471246554568,0.26285216381063026,0.7925787217765636,0.45492665048944336,0.34324016238728583,0.3073368285551076,0.22989980249632735,0.024070021881838075,0.9443178117876914,0.3938894682117106
SULAWESI UTARA,0.4343683466722753,0.020040662213186174,0.7212499222535871,0.06820020501964293,0.2719055449906131,0.19816852103332783,0.1344074306786719,0.3085339168490153,0.357755345707153,0.13819619159295235
SUMATERA BARAT,0.868794993561147,0.1280859715364508,0.6391056585070708,0.6737239121772226,0.568186824452107,0.3985263836275954,0.26603540480586474,0.052516411378555804,0.7092152393357213,0.4523940314812138
SUMATERA SELATAN,0.7937717165231916,0.529770548939878,0.7902437006558276,0.911620702589746,0.3738995822242352,0.24422084010932638,0.17890026589585023,0.11378555798687091,0.57071529360686,0.4879891631575821
SUMATERA UTARA,0.9405790416871148,0.5251234388614581,0.8523796833554363,0.7963672776988363,0.5627572572910984,0.4153865521872421,0.2640377038292726,0.02188183807439825,0.8755020080321286,0.6191570899089697
